arabic,english,sources,rank,page,situation,words_in_phrase
سَوَّى,To do,words,10,1,,
إِجى,To come,words,17,1,,
يا,You (comes before someone's name),words,23,1,,
أهلاً,Hi,words,26,1,,
هادا,This,words,29,1,,
عالي,High,words+phrases,33,1,Dictionary,1
جِسم,Body,words+phrases,36,1,Body Parts,1
واطي,Low,words,38,1,,
خَنزير,Pig,words,48,1,,
بَطّة,Duck,words,58,2,,
عاش,To live,words,66,2,,
مات,To die,words,67,2,,
ناصِح,Fat,words,75,2,,
اعْتَقَد,To think / believe,words,88,2,,
كوَيس,Good,words,94,2,,
نَعسان,Sleepy,words,104,3,,
ظَلّ,To stay / remain,words,117,3,,
بَقِي,To stay / remain,words,119,3,,
إِلى,To / for / of / by,words,122,3,,
شَكى,To complain,words,128,3,,
صام,To fast,words,132,3,,
مَدينة,City,words+phrases,136,3,Directions & Places,1
مَركِز,Center,words,139,3,,
دُكّان,Small shop,words,157,4,,
بُرج,Tower,words,172,4,,
بِدّ,To want,words,174,4,,
الكُلّ,Everyone,words,206,5,,
مَلابِس,clothes,words,213,5,,
أواعي,clothes,words,215,5,,
زَاكي,Tasty,words,221,5,,
مواصلات,public transportation,words+phrases,231,5,Sightseeing,1
طائية,Hat,words,233,5,,
موتوسيكل,motorcycle,words,235,5,,
سَفينة,ship,words+phrases,236,5,Transportation,1
المَسَا,This evening,words+phrases,255,5,Date,1
دَار,Home,words,257,6,,
ولاد,Children,words+phrases,283,6,Family,1
مَقهى,"Cafe, coffee shop",words+phrases,286,6,Eating Out,1
فَواكي,Fruit,words+phrases,307,7,Dictionary,1
جِزر,Carrot,words,315,7,,
زَهِر,Cauliflower,words,319,7,,
وَرد,Flower,words,329,7,,
خَريف,Autumn,words+phrases,336,7,Weather,1
إتنِين,Two,words+phrases,341,7,Numbers,1
تَلاتة,Three,words+phrases,342,7,Numbers,1
تَمانِية,Eight,words+phrases,347,7,Numbers,1
حَلِم,To dream,words,355,7,,
بَعَث,To send,words,359,8,,
مَزَح,To joke,words,361,8,,
نَفَع,To benefit / be of use to,words,364,8,,
رَسَم,To draw,words,369,8,,
فاق,To wake up,words,370,8,,
نَوى,To intend,words,375,8,,
شَمّ,To smell,words,378,8,,
قَحّ,To cough,words,379,8,,
اسْتَنّا,To wait,words,381,8,,
غَنَّى,To sing,words,397,8,,
فَرْجَى,To show,words,399,8,,
تَخَيَّل,To imagine,words,401,8,,
تَنَفَّس,To breathe,words,402,8,,
تَفَرَّج,To watch,words,403,8,,
تَطَلَّع,To look at,words,404,8,,
ابْتَسَم,To smile,words,407,9,,
ارْتاح,To rest,words,410,9,,
حال,Situation / condition,words,413,9,,
سياسة,Politics,words,414,9,,
دَولة,State,words,415,9,,
حَكومة,Government,words,416,9,,
