arabic,english,sources,rank,page
زَعلان,Sad...مِن,words+phrases,100,2
زَهقان,Bored...مِن,words,107,3
عَ,On (abbreviation of على),words,114,3
آي,تي ام ATM,words+phrases,181,4
تي,آي  ام ATM,words,182,4
ام,آي تي  ATM,words+phrases,183,4
أوَّل,مْبارِح The day before yesterday,words,245,5
بَعد,بُكرا The day after tomorrow,words+phrases,249,5
زُوج,Husband (Often pronounced جوز),words,284,6
فَخُور,Proud...ب,words,469,10
قَلقان,Worried...على,words,478,10
بِلاد,الشام The Levant,words,657,14
الشام,بِلاد  The Levant,words+phrases,658,14
